"",CON-,,,DATE,DATE,ORIGIN,ACRES BURNED,VEG.,,STRUCTURES,FATALITIES,,,,
INCIDENT #,TAINED,COUNTY / UNIT,FIRE NAME,START,CONT.,DPA,CDF,OTHER,TOTAL,TYPE,CAUSE,DEST.,DAM.,FIRE,CIVIL
BTU-8059,100%,BUTTE,SKYWAY 2,07/17/06,07/17/06,CDF,451,,451,G,VEHICLE,0,0,0,0
LNU-5007,100%,LAKE,29,07/17/06,07/21/06,CDF,550,,550,WB,VEHICLE,3,0,0,0
MEU-5124,100%,MENDOCINO,GEYSERS,07/17/06,07/17/06,CDF,321,,321,TGW,UNDET.,0,0,0,0
LMU-2968,100%,LASSEN,CREEK,07/18/06,07/21/06,CDF,1234,,1234,TB,UNDET.,0,0,0,0
MVU-6638,100%,SAN DIEGO,BORDER FIRE # 16,07/20/06,07/20/06,CDF,315,,315,B,UNDET.,0,0,0,0
TUU-8471,100%,TULARE,COYTOE,07/20/06,07/21/06,CDF,1325,,1325,G,LIGHTNING,0,0,0,0
MMU-8926,100%,MERCED,OLIVE,07/21/06,07/21/06,LOCAL,,25007,25007,AP,MISC.,0,0,0,0
KNP-26,,FRESNO,BURNT,07/21/06,,NPS,,627,627,,LIGHTNING,0,0,0,0
BDU-7798,100%,SAN BERNARDINO,RAMP FIRE,07/22/06,07/22/06,USFS,,448,448,B,HUMAN,6,0,0,0
BEU-2665,100%,MONTEREY,CABEU-002665 (RICCO),07/22/06,07/27/06,CDF,14506,,14506,WB,LIGHTNING,0,0,0,0
BDU-7845,100%,SAN BERNARDINO,WHISPERING PINES,07/22/06,07/26/06,CDF/NPS,993,0,993,B,LIGHTNING,10,0,0,0
TUU-9072,100%,KERN,RIDGE,07/22/06,07/28/06,CDF,445,,445,G,LIGHTNING,0,0,0,0
"",CON-,,,DATE,DATE,ORIGIN,ACRES BURNED,VEG.,,STRUCTURES,FATALITIES,,,,
INCIDENT #,TAINED,COUNTY / UNIT,FIRE NAME,START,CONT.,DPA,CDF,OTHER,TOTAL,TYPE,CAUSE,DEST.,DAM.,FIRE,CIVIL
TUU11375,100%,KERN,SCOTT,07/23/06,07/23/06,CDF,600,,600,TB,LIGHTNING,0,0,0,0
SLU-5902,100%,SAN LUIS OBISPO,"""Y""",07/23/06,07/23/06,CDF,660,,660,G,ELEC. POW.,0,0,0,0
RRU-6747,100%,SAN DIEGO,ASSIST 103 (HORSE),07/23/06,08/01/06,USFS,,16681,16681,B,HUMAN,0,0,0,0
RRU-62919,100%,RIVERSIDE,COYOTE FIRE,07/23/06,07/26/06,CDF,467,,467,B,LIGHTNING,0,0,0,0
SKU-3536,100%,SISKIYOU,HAPPY CAMP,07/23/06,09/24/06,USFS,,3318,3318,T,LIGHTNING,0,0,2,0
SKU-3497,100%,SISKIYOU,UNCLES COMPLEX,07/23/06,10/31/06,USFS,,30454,30454,TB,LIGHTNING,1,0,0,0
SRF-997,100%,HUMBOLDT & SISKIY,ORLEANS COMPLEX,07/24/06,09/30/06,USFS,,15710,15710,,LIGHTNING,1,0,0,0
TUU-11376,100%,KERN,MT. PINOS LIGHTNING C,07/24/06,07/29/06,CDF,3194,,3194,TB,LIGHTNING,0,0,0,0
HUU-5068,100%,TRINITY,PANTHER,07/24/06,08/07/06,USFS,,904,904,T,LIGHTNING,0,0,0,0
BDU-10779,100%,LOS ANGELES,EMPIRE,07/25/06,07/25/06,CDF,1094,,1094,GB,LIGHTNING,0,0,0,0
SKU-3541,100%,SISKIYOU,LAKIN,07/25/06,08/01/06,USFS,,480,480,TB,LIGHTNING,0,0,0,0
MEU-5437,100%,MENDOCINO,HUNTER,07/26/06,07/26/06,USFS,,16296,16296,TB,LIGHTNING,0,0,0,0
MMU-9238,100%,MADERA,RAYMOND,07/26/06,07/26/06,CDF,477,,477,G,SMOKING,0,0,0,0
SHU-7170,100%,TRINITY,BAR COMPLEX,07/27/06,07/27/06,USFS,,100414,100414,T,LIGHTNING,0,0,0,0
SKU-3583,100%,SISKIYOU,HOY,07/26/06,07/28/06,CDF,1283,,1283,TGW,ELEC. POW.,1,1,0,0
LMU-3200,100%,MODOC,MDF- 484 (SAGE),07/27/06,08/05/06,USFS,,4855,4855,GB,LIGHTNING,0,0,0,0
SHU-5863,100%,TRINITY,JUNCTION,07/29/06,07/29/06,CDF,3126,,3126,W,MISC.,1,0,0,0
SLU-6169,100%,SAN LUIS OBISPO,ANTELOPE,08/01/06,08/01/06,CDF,400,,400,GB,UNDET.,0,0,0,0
TGU-5100,100%,TEHAMA,MNF ASSIST (KINGSLEY,08/02/06,08/02/06,USFS,,6854,6854,T,LIGHTNING,0,0,0,0
TUU-9299,100%,KERN,COTTONWOOD,08/05/06,08/06/06,BLM,,2346,2346,T,UI,0,1,0,0
BDU-7707,100%,SAN BERNARDINO,COVINGTON,08/07/06,08/07/06,NPS,,532,532,,LIGHTNING,0,0,0,0
RRU-67809,100%,RIVERSIDE,GOLF,08/08/06,08/10/06,CDF,800,,800,G,EQUIP. USE,0,0,0,0
RRU-69073,100%,RIVERSIDE,GILAMN (GILMAN),08/12/06,08/13/06,CDF,300,,300,G,EQUIP. USE,0,0,0,0
BDU-10792,100%,LOS ANGELES,QUAIL,08/13/06,08/16/06,CDF,4864,,4864,G,UI,2,1,0,0
NEU-15663,100%,YUBA COUNTY,MARYSVILLE,08/16/06,08/17/06,CDF,388,,388,TB,UNDET.,1,0,0,0
MMU-10498,100%,MARIPOSA,BOUNDARY,08/21/06,08/22/06,NPS,,536,536,,HUMAN,0,0,0,0
BDU-9392,100%,SAN BERNARDINO,EMERALD,08/29/06,08/29/06,CDF/LRA,384,537,921,G,SHOOTERS,1,1,0,0
SHU-7012,20%,TRINITY,PIGEON,09/02/06,10/16/06,USFS,,6452,6452,,HUMAN,0,0,0,0
"",CON-,,,DATE,DATE,ORIGIN,ACRES BURNED,VEG.,,STRUCTURES,FATALITIES,,,,
INCIDENT #,TAINED,COUNTY / UNIT,FIRE NAME,START,CONT.,DPA,CDF,OTHER,TOTAL,TYPE,CAUSE,DEST.,DAM.,FIRE,CIVIL
NEU-17281,100%,PLACER,RALSTON,09/05/06,09/18/06,USFS,,8423,8423,,UI,2,0,0,0
BDU-10098,100%,MONO COUNTY,ASSIST (SAWMILL),09/14/06,09/15/06,USFS,,7434,7434,,HUMAN,2,,,
RRU-79592,100%,RIVERSIDE,ORCHARD,09/16/06,09/16/06,CDF,1580,,1580,G,UNDET.,0,5,0,0
RRU-79875,100%,RIVERSIDE,RANCH,09/17/06,09/17/06,CDF,1200,470,1670,GB,UNDET.,3,2,0,0
BDU-10271,100%,SAN BERNARDINO,PINNACLES,09/19/06,09/21/06,USFS,,2370,2370,,UI,0,0,0,0
NEU-18269,100%,SIERRA,BASSETTS,09/19/06,09/26/06,USFS,,2114,2114,,UI,0,0,0,0
LNU-7269,100%,YOLO,82,09/22/06,09/22/06,CDF,500,,500,G,UNDET.,0,0,0,0
LNU-7284,100%,NAPA,NAPA,09/22/06,09/24/06,CDF,387,,387,TGWB,ELEC. POW.,0,0,0,0
FKU-9073,100%,FRESNO,ADAMS,09/24/06,09/24/06,LOCAL,,800,800,G,DEBRIS,0,0,0,0
MEU-7298,100%,MENDOCINO,NOBLE,09/24/06,09/30/06,CDF,1014,,1014,T,UNDET.,0,0,0,0
SLU-8061,100%,SAN LUIS OBISPO,"CUYAM,A",10/09/06,10/10/06,CDF,850,,850,,UI,0,0,0,0
SNF-2579,100%,FRESNO,RUBE,10/10/06,,USFS,,341,341,,LIGHTNING,0,0,0,0
RRU-87499,100%,RIVERSIDE,SUNRISE,10/13/06,10/14/06,CDF,497,,497,,VEHICLE,0,0,0,0
FKU-10105,100%,FRESNO,PHELPS,10/25/06,10/25/06,CDF,1600,,1600,G,EQUIP. USE,0,0,0,0
RRU-09//90,100%,RIVERSIDE,ESPERANZA,10/26/06,10/31/06,CDF,40200,,40200,,ARSON,54,0,5,1
BCD-44185,100%,SAN BERNARDINO,SIERRA,11/06/06,11/07/06,USFS,,640,640,,HUMAN,2,,,
MMU-12758,100%,MARIPOSA,,10/07/06,10/07/06,CDF,450,,450,,UNDET.,0,0,0,0
VNC-3565,100%,VENTURA,SHEKELL,12/03/06,12/05/06,CDF,13600,,13600,,UI,7,11,0,0
BDC-48105,100%,SAN BERNARDINO,CITRUS,12/04/06,12/04/06,USFS,,525,525,,UI,0,0,0,0
KRN-035228,100%,KERN,WESTSIDE,12/07/06,12/09/06,CDF,4025,,4025,,UI,0,0,0,0
"",,,,,,,,,0,,,,,,
