"INCIDENT","CONTAINED","COUNTY","FIRENAME","START","CONT","ORIGIN","ACRESBURNED","OTHER","TOTAL","VEGTYPE","CAUSE","STRUCTURES_DEST","STRUCTURES_DAM","FATALITIES_FIRE","FATALITIES_CIVIL"
"MEU-4607","100%","MENDOCINO","ALBION RIVER LIGHTNING","6/20/08","6/30/08","CDF","1,000",,"1,000","T","LIGHTNING",0,0,0,0
"SHF-1041","100%","TRINITY","LIME COMPLEX","6/20/08","8/15/08","USFS/BLM",,"98,715","98,715","T","LIGHTNING",5,0,0,0
"SRF-1120","100%","HUMBOLDT/TRINITY","MAD COMPLEX","6/20/08","7/21/08","USFS",,"3,705","3,705","TBG","LIGHTNING",0,0,0,0
"SRF-1123","100%","HUMBOLDT-TRINITY","HELLS HALF COMPLEX","6/20/08","7/28/08","USFS",,"15,146","15,146","TB","LIGHTNING",1,0,0,0
"SRF-1126","100%","HUMBOLDT","UKONOM-SOUTH COMPLEX","6/20/08","9/15/08","USFS",,"29,327","29,327","T","LIGHTNING",0,0,0,0
"BEU-2390","100%","SAN BENITO","BROWN COMPLEX","6/21/08","6/24/08","CDF","3,870",,"3,870","GBT","LIGHTNING",0,0,0,0
"BTU-7577","100%","BUTTE","BREAKNECK","6/21/08","7/9/08","CDF",715,,715,"NA","LIGHTNING",0,0,0,0
"BTU-7581","100%","BUTTE","WEST BRANCH","6/21/08","6/21/08","CDF","3,206",,"3,206","NA","LIGHTNING",0,0,0,0
"BTU-7594","100%","BUTTE","FREY","6/21/08","6/21/08","CDF","4,000","6,000","10,000","T","MISC.",0,0,0,0
"BTU","100%","BUTTE","FLEA VALLEY","6/21/08","6/21/08","CDF","1,248",,"1,248","T","LIGHTNING",0,0,0,0
"BTU-9812","100%","BUTTE","LYNCH","6/21/08","6/21/08","CDF",800,,800,"T","MISC.",0,0,0,0
"HUU-3423","100%","HUMBOLDT","PARADISE","6/21/08","8/1/08","CDF","1,076",,"1,076","T","LIGHTNING",0,0,0,0
"KNF-2975","95%","SISKIYOU","SISKIYOU / BLUE 2 COMPLEX","6/21/08",,"USFS",,"82,186","82,186","T","LIGHTNING",0,0,1,0
"LMU-2725","50%","SHASTA/LASSEN","POPCORN","6/21/08","6/22/08","CDF","3,000",,"3,000","T","LIGHTNING",0,0,0,0
"LNF-2713","100%","LASSEN","CUB COMPLEX","6/21/08","7/20/08","USFS",,"19,718","19,718","T","LIGHTNING",0,0,0,0
"LNF-2782","100%","SHASTA / LASSEN","PETERSON COMPLEX","6/21/08","7/2/08","USFS",,"7,842","7,842","TBG","LIGHTNING",0,0,0,0
"LNU-4790","100%","NAPA","WILD","6/21/08","6/26/08","CDF","4,200",,"4,200","G","UI",1,0,0,0
"LPF-1649","100%","MONTEREY","BASIN COMPLEX","6/21/08","7/27/08","USFS",,"162,818","162,818","TB","LIGHTNING",58,9,0,0
"MEU-4617","100%","MENDOCINO","WAGERS LIGHTNING","6/21/08","6/21/08","CDF","3,000",,"3,000","T","LIGHTNING",0,0,0,0
"MEU-4619","100%","MENDOCINO","JACK SMITH LIGHTNING","6/21/08","7/13/08","CDF","3,000",,"3,000","G","LIGHTNING",0,0,0,0
"MEU-4623","100%","MENDOCINO","MALLO B","6/21/08","7/17/08","CDF","4,466",,"4,466","T","LIGHTNING",0,0,0,0
"MEU-4639","100%","MENDOCINO","BRUSHY 1  LIGHTNING","6/21/08","7/9/08","CDF",391,,391,"G","LIGHTNING",0,0,0,0
"MEU-4653","100%","MENDOCINO","SQUAW 1 LIGHTNING 2","6/21/08","7/13/08","CDF","3,000",,"3,000","T","LIGHTNING",0,0,0,0
"MEU-4669","100%","MENDOCINO","BRUSHY 3 LIGHTNING","6/21/08","7/13/08","CDF",327,,327,"NA","LIGHTNING",0,0,0,0
"MEU-4673","100%","MENDOCINO","OSO LIGHTNING","6/21/08","7/13/08","CDF",373,,373,"B","LIGHTNING",0,0,0,0
"MEU-4675","100%","MENDOCINO","RED MOUNTAIN 1","6/21/08","8/1/08","CDF","7,515",,"7,515","NA","LIGHTNING",0,0,0,0
"MEU-4691","100%","MENDOCINO","SHAMROCK EAST LIGHTNING","6/21/08","7/12/08","CDF",469,,469,"T","LIGHTNING",0,0,0,0
"MEU-4703","100%","MENDOCINO","DAUGHERTY/GATE LIGHTNING","6/21/08","07/13/08","CDF",3000,,3000,"T","LIGHTNING",0,0,0,0
"MNF-579","100%","LAKE, MENDOCINO/
TEHAMA","(MERGED WITH YOLLA BOLLY
COMPLEX)","6/21/08","6/29/08","USFS",,"3,000","3,000","BGWT","LIGHTNING",2,0,0,0
"MNF-645","100%","LAKE","SODA COMPLEX","6/21/08","7/26/08","USFS",,"8,632","8,632","TG","LIGHTNING",4,0,0,0
"PNF-0539","100%","PLUMAS","CANYON COMPLEX","6/21/08","9/30/08","USFS",,"47,680","47,680","T","LIGHTNING",3,0,0,0
"SCU-3094","100%","SANTA CLARA","HUMMINGBIRD","6/21/08","6/24/08","CDF",750,0,750,"GW","LIGHTNING",0,0,0,0
"SHU-4711","100%","SHASTA","STA 57 ONO CDF IGO 2","6/21/08","7/24/08","CDF","4,000",,"4,000","T","LIGHTNING",9,0,0,0
"SHU-4733","100%","SHASTA","WHITMORE RD/OLD CROW
C2","6/21/08","7/15/08","CDF","2,054",,"2,054","T","LIGHTNING",0,0,0,0
"SHU-4743","100%","SHASTA","COLEMAN FISH HATCHERY
R3","6/21/08","7/2/08","CDF",388,,388,"T","LIGHTNING",0,0,0,0
"SHU-4772","100%","SHASTA","DONKEY MINE RD/OAK RU","6/21/08","7/2/08","CDF",557,,557,"BG","LIGHTNING",0,0,0,0
"SHU-5566","100%","SHASTA","EO2A","6/21/08","7/6/08","CDF","1,200",,"1,200","B","LIGHTNING",0,0,0,0
"SHU-5568","100%","SHASTA","STEIN","6/21/08","7/7/08","CDF","1,148",,"1,148","T","LIGHTNING",0,0,0,0
"SHU-5582","100%","SHASTA","MOON","6/21/08","8/9/08","CDF","6,030",,"6,030","T","LIGHTNING",0,0,0,0
"SHU-5626","100%","SHASTA","IGO 6","6/21/08","7/24/08","CDF","4,200",,"4,200","T","LIGHTNING",0,0,0,0
"SHU-5632","100%","TRINITY","PLATINA 4","6/21/08","7/4/08","CDF","12,980",,"12,980","T","LIGHTNING",0,0,0,0
"SHU-5656","100%","TRINITY","LEWISTON 8","6/21/08","7/23/08","CDF","1,311",,"1,311","T","LIGHTNING",0,0,0,0
"SHU-5817","100%","SHASTA","IGO 13","6/21/08","7/24/08","CDF",600,,600,"T","LIGHTNING",0,0,0,0
"SHU-5822","100%","SHASTA","IGO 15","6/21/08","7/24/08","CDF","1,200",,"1,200","T","LIGHTNING",0,0,0,0
"SHU-5826","100%","SHASTA","IGO 16","6/21/08","7/24/08","CDF","4,800",,"4,800","T","LIGHTNING",0,0,0,0
"SHU-5827","100%","SHASTA","IGO 17","6/21/08","7/24/08","CDF","2,400",,"2,400","T","LIGHTNING",0,0,0,0
"SHU-5829","100%","SHASTA","IGO 18","6/21/08","7/24/08","CDF","4,200",,"4,200","T","LIGHTNING",0,0,0,0
"SHU-5835","100%","SHASTA","LAKEHEAD","6/21/08","8/23/08","CDF","27,936",,"27,936","B","LIGHTNING",12,0,0,0
"SNF-0718","100%","MARIPOSA /MADER","SILVER KNOB","6/21/08","7/2/08","USFS",,600,600,"T","LIGHTNING",0,0,0,0
"SNF-715","100%","MADERA/MARIPOSA","OLIVER","6/21/08","6/26/08","USFS",,"2,200","2,200","TB","LIGHTNING",0,0,0,0
"STF-1063","100%","TUOLUMNE","NORTH MOUNTAIN","6/21/08","7/3/08","USFS",,"2,889","2,889","BT","LIGHTNING",0,0,0,0
"TNF-1011","100%","PLACER","AMERICAN RIVER COMPLEX","6/21/08","7/30/08","USFS",,"20,541","20,541","TB","LIGHTNING",2,0,0,0
"TNF-1015","100%","YUBA/ NEVADA/
SIERRA","YUBA RIVER COMPLEX","6/21/08","7/15/08","USFS",,"4,254","4,254","TB","LIGHTNING",0,0,0,0
"WNP-1095","100%","SHASTA","WHISKEYTOWN COMPLEX","6/21/08","7/19/08","NPS",,"6,420","6,420","TB","LIGHTNING",0,0,0,0
"CZU-5708","100%","SAN MATEO","QUARRY","6/22/08","6/29/08","CDF",300,,300,"GBT","UI",0,0,0,0
"KNF-3393","90%","SISKIYOU","BEAR WALLOW COMPLEX
(KLAMATH THEATER)","6/22/08","9/30/08","USFS",,"192,038","192,038","TB","LIGHTNING",0,0,2,0
"LMU-2725","100%","LASSEN","POPCORN","6/22/08","7/8/08","CDF","3,000",,"3,000","TW","LIGHTNING",0,0,0,0
"LNF-2776","100%","TEHEMA","ANTELOPE","6/22/08","6/26/08","USFS",,600,600,"T","LIGHTNING",0,0,0,0
"LNF-2781","100%","TEHEMA","MILL COMPLEX","6/22/08","6/29/08","USFS",,"2,100","2,100","TG","LIGHTNING",0,0,0,0
"LNU-4843","100%","LAKE/COLUSA","WALKER","6/22/08","6/29/08","CDF","15,000",,"15,000","T","HUMAN",0,0,0,0
"MEU-4730","100%","MENDOCINO","ORR SPRINGS RD UKV 2","6/22/08","7/10/08","CDF","3,000",,"3,000","T","LIGHTNING",0,0,0,0
"MEU-4752","100%","MENDOCINO","CLIFF RIDGE LIGHTNING","6/22/08","7/12/08","CDF",999,,,"T","LIGHTNING",0,0,0,0
"SHU-5554","100%","SHASTA","VENTURE","6/22/08","7/4/08","CDF","1,912",,"1,912","T","LIGHTNING",0,0,0,0
"LMU-2759","100%","LASSEN","CORRAL","6/23/08","7/7/08","CDF","12,500",,"12,500","T","LIGHTNING",0,0,0,0
"MMU-8107","100%","MARIPOSA","OLIVER","6/23/08","7/6/08","CDF","2,789",,"2,789","TGB","LIGHTNING",0,0,0,0
"TGU-4261","100%","TEHAMA","MILL CREEK","6/24/08","7/1/08","CDF","13,580",,"13,580","G","LIGHTNING",0,0,0,0
"MEU-4941","100%","MENDOCINO","JUAN CREEK LIGHTNING","6/27/80","7/15/08","CDF",450,,450,"BG","UI",0,0,0,0
"SQF-1356","100%","KERN","PIUTE","6/28/08","7/25/08","USFS",,"37,026","37,026","T","MISC.",51,0,0,0
"MEU-5011","100%","MENDOCINO","HARDY","6/30/08","6/30/08","CDF","5,581",,"5,581","TBG","LIGHTNING",0,0,0,0
"LPF-1778","100%","SANTA BARBARA","GAP","7/1/08","7/28/08","USFS",,"9,443","9,443","T","MISC.",4,0,0,0
"TUU-348","100%","TULARE","WIGGLE","7/1/08","7/2/08","CDF",450,,450,"NA","ARSON",2,0,0,0
"LMU-2934","100%","LASSEN","DIXIE","7/2/08","7/4/08","CDF",350,,350,"GBT","LIGHTNING",0,0,0,0
"MEU-5102","100%","MENDOCINO","ORR SPRINGS RD ORR 3","7/3/08","7/3/08","CDF","3,000",,"3,000","T","LIGHTNING",0,0,0,0
"MEU-5132","100%","MENDOCINO","BUTCH LIGHTNING","7/4/08","7/4/08","CDF","2,800",,"2,800","T","LIGHTNING",0,0,0,0
"MEU-5136","100%","MENDOCINE","LOST PIPE LIGHTNING","7/4/08","7/10/08","CDF","1,200",,"1,200","T","LIGHTNING",0,0,0,0
"MEU-5139","100%","MENDOCINO","CASOOSE CREEK LIGHTNING","7/4/08","7/4/08","CDF",550,,550,"T","LIGHTNING",0,0,0,0
"MEU-5147","100%","MENDOCINO","TRAVIS 3 LIGHTNING","7/4/08","7/4/08","CDF",750,,750,"T","LIGHTNING",0,0,0,0
"MEU-5148","100%","MENDOCINO","BRUSHY LIGHTNING","7/4/08","7/15/08","CDF",391,,391,"NA","LIGHTNING",0,0,0,0
"MEU-5152","100%","MENDOCINO","JAMESON LIGHTNING","7/4/08","7/13/08","CDF",925,,925,"NA","LIGHTNING",0,0,0,0
"MEU-5155","100%","MENDOCINO","JACK SMITH LIGHTNING","7/4/08","7/15/08","CDF","2,000",,"2,000","BG","UI",0,0,0,0
"MEU-5159","100%","MENDOCINO","ALBION LIGHTNING","7/4/08","7/8/08","CDF","3,000",,"3,000","T","LIGHTNING",0,0,0,0
"MEU-5160","100%","MENDOCINO","LOW GAP 1 LIGHTNING","7/4/08","7/15/08","CDF","1,700",,"1,700","BG","UI",0,0,0,0
"MEU-5164","100%","MENDOCINO","HORSE LIGHTNING","7/4/08","7/8/08","CDF","1,000",,"1,000","BG","UI",0,0,0,0
"MEU-5165","100%","MENDOCINO","ORR SERIES LIGHTNING","7/4/08","7/13/08","CDF","3,000",,"3,000","T","LIGHTNING",0,0,0,0
"MEU-5167","100%","MENDOCINO","MONTGOMERY FLAT
LIGHTNING","7/4/08","7/15/08","CDF","3,000",,"3,000","T","LIGHTNING",0,0,0,0
"MEU-5170","100%","MENDOCINO","BURGER CK LIGHTNING","7/4/08","7/12/08","CDF",528,,528,"T","LIGHTNING",0,0,0,0
"MEU-5227","100%","MENDOCINO","TRAVIS 1 LIGHTNING","7/5/08","7/5/08","CDF",650,,650,"T","LIGHTNING",0,0,0,0
"MEU-5277","100%","MENDOCINO","ALDER CREEK BEACH","7/7/08","7/7/08","CDF","1,000",,"1,000","N/A","LIGHTNING",0,0,0,0
"MMU-9015","100%","MERCED","DINO IC","7/10/08","7/11/08","CDF",800,,800,"G","UNDETERMINE",0,0,0,0
"KNP-0020","100%","FRESNO","TEHIPITE","7/19/08","11/11/08","NPS",,"11,596","11,596","T","LIGHTNING",0,0,0,0
"MMU-9594","100%","MERCED","HWY 152 E/ROMERO VI 113","7/21/08","7/22/08","CDF",700,,700,"G","UNDETERMINE",0,0,0,0
"KNF-3624","100%","SISKIYOU","PANTHER (transferred to the
Klamath Theater)","7/24/08","9/30/08","USFS",,"72,344","72,344","T","LIGHTNING",0,0,1,0
"PNF-0784","100%","PLUMAS","RICH","7/29/08","8/10/08","USFS",,"6,112","6,112","T","RAILROAD",9,0,0,0
"BTU-9395","100%","BUTTE","CRAIG","8/3/08","8/11/08","CDF","2,001",,"2,001","TB","UI",2,0,0,0
"INF-0656","100%","MONO","SHERWIN","8/3/08","8/8/08","USFS",,300,300,"T","HUMAN",0,0,0,0
"BEU-3008","100%","MONTEREY","TURKEY","8/7/08","8/8/08","CDF",400,,400,"G","POWER EQUIP",0,0,0,0
"BTU-9802","100%","BUTTE","RIM","8/13/08","8/13/08","CDF","1,651",,"1,651","T","LIGHTNING",0,0,0,0
"BTU-9805","100%","BUTTE","EMPIRE","8/13/08","8/3/08","CDF","2,000",,"2,000","T","LIGHTNING",0,0,0,0
"BTU-9806","100%","BUTTE","FLEA VALLEY #2","6/21/08","6/21/08","CDF","1,248",,"1,248","T","MISC.",0,0,0,0
"BTU-9807","100%","BUTTE","CAMP ( BELDON & PIT)","8/13/08","8/13/08","CDF","47,647",,"47,647","T","LIGHTNING",117,0,0,0
"BTU-9818","100%","BUTTE","SMOKEY","8/13/08","8/13/08","CDF","1,324",,"1,324","T","LIGHTNING",0,0,0,0
"TUU-485","100%","TULARE","ELK","8/14/08","8/15/08","CDF",600,,600,"G","ARSON",0,0,0,0
"TUU-486","100%","TULARE","RODEO","8/14/08","8/14/08","CDF",500,,500,"G","UNDETERMINE",0,0,0,0
"TUU-488","100%","TULARE","RODEO 2","8/14/08","8/15/08","CDF",500,,500,"G","UNDETERMINE",0,0,0,0
"BNP-437","100%","SISKIYOU","JACK","8/17/08","8/22/08","NPS",,"6,900","6,900","BG","LIGHTNING",0,0,0,0
"KNF-4096","100%","SISKIYOU","SLINKARD","8/17/08","8/21/08","USFS",,374,374,"T","LIGHTNING",0,0,0,0
"FKR-9403","100%","FRESNO","AVENAL","8/19/08","8/20/08","CDF",946,,946,"G","UI",0,0,0,0
"NEU-18862","100%","PLACER","GLADDING","9/1/08","9/3/08","CDF","1,000",,"1,000",,"UI",16,0,0,0
"SHF-1944","100%","SHASTA","GULCH","9/7/08","9/11/08","USFS",,"2,847","2,847","TB","EQUIP",0,0,0,0
"SHF-1949","100%","SHASTA","ELMORE","9/7/08","9/9/08","USFS",,343,343,"TB","ARSON",0,0,0,0
"HIA-220","100%","HUMBOLDT","DEERHORN","9/8/08","9/14/08","USFS",,381,381,"TBG","UI",0,0,0,0
"KNP-0035","100%","TULARE","HIDDEN","9/10/08","9/30/2008","NP",,"3,668","3,668","T","LIGHTNING",0,0,0,0
"LPF-2754","100%","MONTEREY","CHALK","09/25/08","10/29/2028","USFS",,"16,269","16,269","T","MISC.",0,0,0,0
"MCP-08-2515","100%","SAN DIEGO","ROBLAR","09/25/08","9/29/2008","MIL",,400,400,"B","MISC.",0,0,0,0
"STF-2458",,"TUOLUMNE","DOME ROCK","9/30/08","11/15/2008","USFS",,919,919,"T","LIGHTNING",0,0,0,0
"MCP-2640","100%","SAN DIEGO","NOVEMBER","10/08/08","10/9/2008","MIL",,"1,400","1,400","GB","HUMAN",0,0,0,0
"LNU-8342","100%","NAPA","DEER","10/10/08","10/14/2008","CDF",300,,300,"T","EQUIP",2,0,0,0
"ANF-3833","100%","LOS ANGELES","MAREK","10/12/08","10/16/2008","USFS",,"4,824","4,824","B","MISC.",65,9,0,0
"MRN-2428","100%","MARIN","ANGEL","10/12/08","10/14/2008","CDF/CC",303,,303,"B","UI",1,0,0,0
"LAC-8231953","100%","LOS ANGELES","SESNON","10/13/08","10/18/2008","CDF/CC","14,703",,"14,703","BG","UI",78,15,0,0
"MCP-2699","100%","SAN DIEGO","JULIETT","10/13/08","10/17/2008","MIL",,"4,026","4,026","BG","UI",0,0,0,0
"YNP-764","100%","MARIPOSA","WAWONA NW","10/14/08","10/19/2008","NP",,450,450,"T","HUMAN",0,0,0,0
"BTU-12764","100%","BUTTE","LACKERMAN","10/23/08","10/23/2008","CDF","1,310",,"1,310","T","LIGHTNING",0,0,0,0
"BTU-12769","100%","BUTTE","LONG","10/23/08","10/23/2008","CDF",420,,420,"T","LIGHTNING",0,0,0,0
"SBC-9981","100%","SANTA BARBARA","TEA INCIDENT","11/13/08","11/17/2008","CDF/CC","1,940",,"1,940","T","CAMPFIRE",210,20,0,0
"LFD-1460","100%","LOS ANGELES","SAYRE","11/14/08","11/21/2008","CDF/CC","5,630","5,632","11,262","TB","MISC.",634,147,0,0
"RRU-99962","100%","RIVERSIDE","FREEWAY","11/15/2008","11/22/2008","CDF","30,305",,"30,305","G","MISC.",200,45,0,0
