"INCIDENT","CONTAINED","COUNTY","FIRENAME","START","CONT","ORIGIN","ACRESBURNED","OTHER","TOTAL","VEGTYPE","CAUSE","STRUCTURES_DEST","STRUCTURES_DAM","FATALITIES_FIRE","FATALITIES_CIVIL"
"LNU-1057","100%","LAKE","CONTROL BURN, GEYSERS","2/13/08","2/13/08","LOCAL",,400,400,"G","DEBRIS",0,0,0,0
"BDU-002993","100%","INYO","BLUFF","3/16/08","3/20/08","CDF",680,,680,"BG","CAMPFIRE",0,0,0,0
"YNP-764","100%","MARIPOSA","WAWONA NW","4/9/08","4/19/08","NPS, USFS","1,130","1,130","TB","HUMAN",0,0,0,0,
"RRU-32590","100%","RIVERSIDE","JOHNSON VMP","4/11/08","5/29/08","LOCAL",,424,424,"G","DEBRIS",0,0,0,0
,"100%","LOS ANGELES","SANTA ANITA","4/26/08","5/2/08","OCAL/LAC",584,584,"B","ARSON",1,0,0,0,
"BDF-5147","100%","RIVERSIDE","APACHE","4/29/08","5/4/08","USFS",,769,769,"TBG","SMOKING",0,0,0,0
"INF-282","100%","TULARE","HONEY BEE","5/6/08","5/23/08","USFS",,"1,225","1,225","TB","LIGHTNING",0,0,0,0
"TGU-003102","100%","TEHAMA","COLYEAR","5/6/08","5/9/08","CDF","1,331",,"1,331","B","DEBRIS",0,0,0,0
"ANF-1444","100%","LOS ANGELES","BIGHORN","5/14/08","5/21/08","USFS",,490,490,"B","MISC.",0,0,0,0
"FKU-5639","100%","FRESNO","AVOCADO","5/20/08","5/21/08","CDF","1,100",,"1,100","G","EQUIP",0,0,0,0
"FKU-5724","100%","FRESNO","GATOS","5/22/08","5/22/08","CDF",331,,331,"G","POWERLINES",0,0,0,0
"SCU-2548","100%","SANTA CRUZ/ SANTA
CLARA","SUMMIT","5/22/08","5/27/08","CDF","4,270",,"4,270","TB","UI",91,6,0,0
"SQF-967","90%","TULARE","CLOVER","5/28/08","7/20/08","USFS",,"15,300","15,300","TB","LIGHTNING",0,0,0,0
,"100%","RIVERSIDE","JOHNSON VMP","5/28/08","5/29/08","CDF",424,,424,"G","EQUIP",0,0,0,0
"LNU-4180","100%","SONOMA-LAKE-NAP",85,"6/5/08","6/6/08","CDF",322,,322,"AG.P","POWER EQUIP",0,0,0,0
"KRN-016886","100%","KERN","GRAPEVINE","6/6/08","6/8/08","CDF/CC",507,,507,"G","UI",0,0,0,0
"CDD-6343","100%","SAN BERNARDINO","ACOMA","6/7/08","6/10/08","BLM",,356,356,"G","UI",0,1,0,0
"SQF-1023","100%","KERN","RICHBAR","6/7/08","6/8/08","USFS",,312,312,"BG","ARSON",0,0,0,0
"LPF-1491","100%","MONTEREY","INDIANS","6/8/08","7/10/08","USFS",,"81,378","81,378","TBG","CAMPFIRE",15,1,0,0
"AEU-10884","100%","SACRAMENTO","JACKSON","6/10/08","6/12/08","LOCAL",,"6,400","6,400",,"UI",0,0,0,0
"BTU-7021","100%","BUTTE","Ophir","6/10/08","6/13/08","LOCAL",,"1,600","1,600","G","UI",41,0,0,0
"LNU-4321","100%","SONOMA","PINE","6/10/08","6/13/08","CDF",989,,989,"BG","UNDETERMINE",0,0,0,0
"MMU-7347","100%","MADERA",41,"6/10/08","6/11/08","CDF","3,300",,"3,300","G","EQUIP",0,0,0,0
"TCU-5302","100%","TUOLUMNE","LAGRANGE","6/10/08","6/11/08","CDF","1,346",,"1,346","G","EQUIP",2,0,0,0
"BTU-7089","100%","BUTTE","HUMBOLDT","6/11/08","6/21/08","CDF","23,344",,"23,344","G","ARSON",351,7,0,0
"CZU-5238","100%","SANTA CRUZ","MARTIN","6/11/08","6/28/08","CDF",520,,520,"TG","CAMPFIRE",11,3,0,0
"MNF-2009","100%","TEHAMA","WHISKEY","6/12/08","6/22/08","USFS",,"7,783","7,783","BGW","MISC.",0,0,0,0
"CZU-5581","100%","SANTA CRUZ","TRABING","6/20/08","6/24/08","CDF",630,,630,"TGB","EQUIP",87,0,0,0
