"unit","name","start","end","agency","cdf","other","totalacres","vegType","cause","homes"
"Butte","Bidwell","07/02","07/05","CDF",,,6900,"B","Equip . Use",
"Lassen-Modoc","BLM D 284","07/05","N/A","BLM",,,12100,"N/A","N/A",
"Lassen-Modoc","BLM D 337","08/11","N/A","BLM",,,1480,"N/A","N/A",
"Lassen-Modoc","Eagle","08/12","08/13","CDF",,,580,"T","Cmpr.",
"Lassen-Modoc","Modoc N.F. 094","08/13","08/16","USFS",,,4000,"TB","Equip . Use",
"Lassen-Modoc","P .N .F . 115","08/21","N/A","USFS",,,1100,"N/A","N/A",
"Siskiyou","Bolam","11/01","11/02","CDF",,,370,"B","Debris",
"Tehama-Glenn","Lowery","07/12","07/13","CDF",,,2645,"WBG","Cmpr",1
"Tehama-Glenn","Mill Creek","07/28","07/30","CDF",,,4020,"W","Smkr.",
"Fresno-Kings","Sherman 461","05/24","05/24","CDF",,,440,"BG","Misc.",
"Fresno-Kings","Flat Top","05/25","05/26","CDF",,,6825,"BG","Elec . Power",
"Fresno-Kings","Barton","05/29","05/30","CDF",,,300,"BG","P/W/F",
"Madera -Mariposa","China Hat","08/30","08/30","CDF",,,2000,"G","Misc.",
"Kern County","Fay Ranch","05/08","05/10","CC",,,1175,"BG","Misc.",
"Kern County","Woodrow","05/24","05/26","CC",,,1200,"B","N/A",
"Kern County","Kern 4610",5,30,"CC",,,300,"B","Ltng.",
"Tulare","Wells","07/05","07/06","CDF",,,407,"W","Ltng.",
"Kern County","Bodfish","07/07","07/13","CC",,,23200,"B","Debris",
"Sequoia NF","USFS #13","05/29","05/30","USFS",,,480,"B","Ltng.",
"Kern County & Los Padres NF","USFS 4614","08/10","08/12","USFS",,,2405,"BG","Ltng.",
"Kern County","Kern Co BG. 4625","08/18","08/18","CC",,,1500,,"N/A",
"Kern County","Kern Co . 4626","08/19","08/20","CC",,,300,"B","N/A",
"Kern County","Kern Co 6000. 4627","08/19","08/20","CC",,,6000,"BG","N/A",
"Tulare","Bar-O-Escape","08/29","09/01","CDF",,,1390,"B","Misc.",
"Tuolumne-Calaveras","Salt Springs","06/24","06/25","CDF",,,4800,"WG","Debris",
"Tuolumne-Calaveras","Quartz","07/07","07/08","CDF",,,2580,"WBG","Equip . Use",1
"San Benito-Monterey","Reliz Canyon","05/22","05/22","CDF",,,"825 ","BGAP","Arson",
"San Benito-Monterey","Bonanza","06/02","06/03","CDF",,,"12906 ","WBG","Debris",
"San Luis Obispo","BLM #1","05/21","05/21","CDF",,,"560 ","B","Misc.",
"San Luis Obispo","Morretti","05/29","05/30","CDF",,,"1330 ","BG","Ltng.",
"Santa Barbara County","Pasqual","06/08","06/09","CC",,400,400,"G","N/A",
"San Mateo-Santa Cruz","Rocha Vmp","09/08","09/09","CDF",,,"550 ","WBG","Misc.",
"Santa Clara","Nunes","06/01","06/01","CDF",,,330,"WB","Ltng.",
"Santa Clara","Site 300 463","06/28","06/28","CDF",,,4759,"BG","Debris",
"Santa Clara","Pacheco 462","07/05","07/06","CDF",,,1103,"WBG","Ltng.",
"Owens Valley","Cow","09/29","09/30","BLM",,,2980,"B","Equip . Use",
"Orange County","Orco Assist","01/26","01/27","CC",,,1200,"BG","N/A",
"Riverside.","Rattlesnake","03/20","03/20","CDF",,,700,"BG","Misc.",
"Cleveland NF","Aguanga","05/30","06/03","USFS",,,6001,"B","Ltng.",
"Eiverside","White Water","07/07","07/10","CDF",,,300,"B","Ltng.",
"Orange County","Coal","07/08","07/09","CC",,,550,"B","P/W/F",
"Riverside","Soboba 467","10/25","10/25","CDF",,,972,"B","Misc.",
"Riverside","Canel","10/26","10/28","LOCAL",,,665,"B","Misc.",
"Angeles NF","Crest","01/26","01/29","USFS",,,600,"BG","Elec . Power",
"Ventura County","Grimes","05/07","05/08","CC",,,10500,"BG","Equip . Use",
"San Bernardino","Stoddard 462","05/12","05/13","BLM",,,2126,"BG","Equip . Use",
"San Bernardino","Lytle","05/28","05/30","USFS",,,2100,"B","N/A",
"San Bernardino","Los Flores","05/30","05/30","CDF",,,316,"B","Ltng.",
"San Bernardino","Rattlesnake","06/28","N/A","USFS",,,340,"BG","Ltng.",
"San Bernardino","Mariposa","08/27","08/27","CDF",,,340,"B","Arson",
"Ventura County","Squaw Flat","10/15","10/17","CC",,,6010,"B","N/A",
"San Diego","Proctor","04/21","04/22","CDF",,,2563,"B","Misc.",
"San Diego","Bowles","09/06","09/08","CDF",,,2836,"B","Arson",
