RANGER UNIT,,,,,ACRES BURNED I,VEG.,,,,,
A AREA,FIRE NAME,I,START I CONT. I DPA I,,CDF OTHER I TOTAL,TYPE,I CAUSE,,,IDEST. I DAM. I FIRE,CIVIL
"110""",,,,,,,,,,,
SANTA BARBARA COUNTY,,SPANISH,,09/08/94 09/09/94,CC,,"2,123","2,123",N/A,N/A,,0 0 0,0
SAN DIEGO,,LA POSTA,,09M9M4 09/10/94,CDF,,330,330,8,MUNITION,,0 0 0,0
ISAN DIEGO,,IRODRIQUEZ,1,09/161941 09/16/941,CDF,1,6871 1,6871,B,IUNDET 1.,1,0 1 0 0,1 0-j
RANGER UN IT,,,,,,,,DATE ORIGIN,ACRES BURNED,,,VEG .,,STRUCTURES,,FATALITIES
"& AREA",,,FIRE NAME,,,,,START CONT. DPA,CDF OTHER,TOTAL,,TYPE,CAUSE,DEST . DAM .,,FIRE CIVIL
SOU7f CONT,,,,: : :::>. :: .,:;: ::::>:::: : . .,.:::::: : : .:::::.,,::>:% ::: ;:»:,,,,. . . ;. .,:> ::.,,,
SAN DIEGO,,,OTAY #4,,,,,10/09/94 10110/94 CDF,"2,550","2,550",,B,CAMPFIRE,0 0,,0 0
SAN LUIS OBISPO,,,ASSIST #79,,,,,10/09/94 10/11/94 CC,"2,546","2,546",,BG,PWF,0 0,,0 0
SAN DIEGO,,,SCISSORS #2,,,,,10/30/94 10/30/94 CDF,400,400,,B,VEHICLE,0 0,,0 0
": :.:: : ;.. .: :SfERRA A REA '",,',,,,,,,,,,,,,,
KERN,,,LAKELAND,,,,,06/14/94 06/14/94 CC,"2,400","2,400",,N/A,N/A,8 6,,0 0
KERN COUNTY,,,WHITE BLANKET,,,,,06/21/94 06/25/94 CC,"2,505","2,505",,N/A,N/A,0 0,,0 0
MADERA-MARIPOSA,,,HUNTER,,,,,06/26/94 06/28/94 CDF,715,715,,GB,UNDET.,0 0,,0 0
TUOLUMEN-CALAVERAS,,,COPPER 98,,,,,06/29/94 06/29/94 CDF,"2,100","2,100",,W,VEHICLE,0 0,,0 0
AMADOR-EL DORADO,,,ASSIST (KELSEY),,,,,08/07/94 08/07/94 CDF,860,860,,T,ARSON,33 0,,0 0
TUOLUMNE-CALAVERAS,,,CREEK,,,,,08/09/94 08/14/94 CDF,442,442,,TB,SMOKING,3 0,,0 0
YOSEMITE NP,,,HORIZON,,,,,08/12/94 08/15/02 NPS,"3,750","3,750",,WA,LIGHTNING,0 0,,0 0
SEQUOIA NF,,,BIG CREEK,,,,,08/24/94 08/30/94 USFS,"5,2501","5,2501",,N/A,WA,0 0,,0 0
TOTALS .:; . .,.,,58 .LARGEa)AMAGING FIRES,,,,,,202 950,302 074,,,,170 b0 . .,:,0' 0 .
