"",,,,,,,,,DWELLINGS
"",,DATE,ORIGIN,ACRES BURNED,,VEG .,CAUSE,,AND
RANGER UNIT,FIRE NAME,START CONT .,DPA,CDF OTHER,TOTAL,TYPE,GEN .,,STRUCTURES
REGION I,,,,,,,,,
Mendocino N .F.,Valley,08/02-08/05,USFS -,- 585,585,TB,Cmpr .,,-
Lake-Napa,Cook,08/27-08/30,CDF,536 252,788,B,Arson,,-
REGION II,,,,,,,,,
Butte,Canal,07/07-07/08,CDF,750 -,750,B,Smkg .,,-
Lassen-Modoc,Eagle,07/07-07/10,CDF,4600 -,4600,T,Misc .,,-
Plumas N .F.,Rock,07/08-07/12,USFS,- 3500,3500,T,N/A,,-
Lassen-Modoc,Feather,07/14-07/15,USFS,- 420,420,T,Equip,.,-
Tehama-Glenn,Beegum,08/15-08/19,CDF,700 -,700,B,N/A,,-
Plumas N .F.,Layman,09/06-09/10,USFS,- 4945,4945,B,N/A,,-
Region III,,,,,,,,,
"",,,,,,,Rekindle,,
Owens Valley,Olivas,03/31-04/01,CDF,813 -,813,BG,Debris,,
Riverside,Mindy,06/16-06/16,CDF,520,,,,,
"",,,,-,520,B,,,
Riverside,California,06/21-06/22,CDF,505,,,Equip Use,,
"",,,,-,505,B,N/A,,
Riverside,State 1116,06/27-06/28,CDF,1000 6880,7880,B,N/A,,
R iverside,Park,07 /05-07/06,CDF,1200,,,,,11
"",,,,-,1200,B,,,
Riverside,Concordia,07/05-07/05,CDF,1302,,,Equip RR,,
"",,,,-,1302,,,,
Riverside,Prado,07/05-07/05,CDF,748 -,748,B,Equip Use,,
R iverside,Poppet,07/14-07/15,CDF,1328 -,1328,B,Misc.,,
EquipSan Bernar dino,Joshua,06/20-06/22,CDF,690 -,,B,,,
"/Angeles",,,,,,,,,
"",,,,,690,B,,,
ArsonSan Ber do,NF 6San Francisco,-06 /28-N/A,CC,1330 839,2169,N/A,N/A,,
"",,DATE ORIGIN,ACRES BURNED,VEG. CAUSE,AND
RANGER UNIT FIRE NAME,,START CONT DPA,CDF,OTHER TOTAL TYPE GEN STRUCTURES,
REGION III (Cont),,,,,
San Diego Proctor #7,,06/28-06/28 CDF,340,- 340 BG Misc .,-
San Diego Dogpatch,,07/05-07/05 CDF,1153,- 1153 B Misc .,-
San Diego Black Mountain,,11/-28--1-1-/-29 -C-ity,-,3000 3000 G N/A,-
San Diego Oriflame,,06/19-06/19 CDF,340,- 340 B Debris,-
San Luis Obispo SLU 1531,,06/18--06/18 CDF,610,- 610 WBG Equip Use-,
San Luis Obispo Chispa,,07/27-07/30 CDF,10500,- 10500 B Equip Use -,
Cleveland N .F. Ortega,,-06/27-06/28--US-FS,-,4000 4000 B N/A,-
Cleveland N .F. Thing,,07/09-07/12 USFS,4692,- 4692 B Smkg .,-
Cleveland N .F. Vail,,07/29-08/07 USFS,-,15100_15_100 B Misc(target shoot,
Angeles N .F. Pacy,,<07/30-07/30 USFS,-,1000 1000 B N/A,-
REGION IV,,,,,
Fresno-Kings Burroughs,,07/23-07/24 CDF,1542,- 1542 B Arson,-
Fresno-Kings Power House,,07/28-08/01 CDF,11600,- 11600 TB Arson,-
Tuolumne-Calaveras Tuttle Town,,09/06-09/07 CDF,740,- 740 B N/A,-
San Benito-Mont . Molera #2,,07/08-07/14 CDF,3087,- 3087 B Arson,-
Sierra N .F . Balch,,,,7550 7550 B N/A,-
STATE TOTAL 33 FIRES,,"CDF ACRES BURNED 50,626",,HOMES 17,
