"",,,DATE DATE,ACRES,,HOMES,LIVE
FIRE NAME,COUNTY,CAUSE,STARTED CONTAINED BURNED,,,DESTROYED,LOST
SHASTA-TRINITY NATIONAL FOREST,,,,,,
Lazyman Tehama,,Lightning,08/30,09/12 2520,,0 0
Under Shasta,,Lightning,08/30,09/06 510,,0 0
Flume Trinity,,Lightning,08/31,09/21 11325,,0 0
Bear Wallow Trinity,,Lightning,08/31,09/21 2150,,0 0
Gulch Trinity,,Lightning,08/30,09/09 6800,,1 0
Bear-I Trinity,,Lightning,08/30,09/12 5750,,0 0
Trinity Trinity,,Lightning,08/30,09/09 1000,,0 0
Jessie Trinity,,Lightning,08/30,09/09 3500,,0 0
Lucy Trinity,,Lightning,08/30,09/09 950,,0 0
Friendly Trinity,,Lightning,08/30,09/14 3400,,0 0
Cold Trinity,,Lightning,08/30,09/19 13932,,0 0
Tule Trinity,,Lightning,08/30,09/14 720,,0 0
Peanut Trinity,,Lightning,08/30,09/14 6860,,0 0
Ripstein/East Trinity,,Lightning,08/30,09/27 14800,,0 0
Strause Trinity,,Lightning,08/30,10/06 5840,,0 1
China/Chance Trinity,,Lightning,08/30,10/06 8235,,0 0
Backbone Trinity,,Lightning,08/30,09/15 830,,0 0
Bear Trinity,,Lightning,08/30,09/12 550,,0 0
Doe Trinity,,Lightning,08/30,09/17 2026,,0 0
SIX RIVERS NATIONAL FOREST,,,,,,
Travis Complex Trinity,,Lightning,08/31,09/07 11500,,0 1
Blake Humboldt,,Lightning,08/30,09/03 1895,,0 0
Longwood Del Norte,,Lightning,08/30,09/05 4000,,0 0
"",,,,DATE,DATE,ACRES,HOMES,LIVES
FIRE NAME COUNTY,,,CAUSE,STARTED,CONTAINED,BURNED,DESTROYED,LOST
STANISLAUS NATIONAL FOREST,,,,,,,,
River-II Tuolumne,.,,Lightning,08/30,09/02,565,0,0
Jarrell Tuolumne,,,Lightning,09/03,09/11,1749,0,0
Stanislaus Complex Tuolumne,,,Lightning,08/29,09/13,144762,18,1
TAHOE NATIONAL FOREST,,,,,,,,
Big Placer,,,Lightning,08/31,09/05,1035,0,0
Palmer Sierra,,,Lightning,08/30,09/06,1612,0,0
Indian Sierra,,,Lightning,08/30,09/07,8500,0,0
USDI BUREAU OF LAND MANAGEMENT,,,,,,,,
Branham Lassen,,,Lightning,08/30,08/31,1150,0,0
USDI NATIONAL PARK SERVICE,,,,,,,,
Paul San Bernardino,,,Lightning,08/31,09/04,1450,0,0
Snag Lassen,,,Lightning,08/31,09/05,830,0,0
KERN COUNTY FIRE DEPARTMENT,,,,,,,,
Sycamore Kern,,,Lightning,08/31,09/03,1600,0,0
Trail Kern,,,Lightning,08/31,09/03,900,0,0
stallion springs Kern,,,Lightning,08/31,09/04,6000,0,0
Middle Kern,,,Lightning,09/05,09/10,1500,0,0
