REGION &,,DATE,,ORIGIN ACRES BURNED,VEG,CAUSE.,,
Cleveland NF,Randolph,,07/17-07/17,USFS,0 400 400,B,Lightning,
Riverside,Butte,,07/29-07/29,CDF,686 0 686,BG,Arson,1
REGION &,,DATE ORIGIN,ACRES BURNED,VEG .,CAUSE,,
RANGER UNIT,FIRE NAME,START CONT . D .P .A .,CDF OTHER TOTAL,TYPE,(general),,HOMES CDF DEATHS
REGION VI (cont .),,,,,,,
Riverside,Morongo #54,08/02-08/02 CDF,550 0 550,B,Smoking,,
Riverside,Rawson,08/18—08/19 CDF,794 0 794,B,Arson,,
Riverside,Burro/Moe 59,08/23-08/23 CDF,1545 0 1545,B,Arson,,
Riverside,Hall,08/25-08/25 CDF,350 0 350,B,Arson,,
Riverside,Olive,09/03-09/03 CDF,603 0 603,B,Play W/Fire,,
Riverside,Rancho,09/13-09/13 CDF,500 0 500,B _,Misc.,,
Riverside,Paseo,09/15-09/15 CDF,3700 0 3700,B,Misc.,,
Riverside,Cherry,09/15-09/15 CDF,625 0 625,BG,Arson,,
San Bernardino,Sierra,06109-.06110 CDF,300 0 300,B,Arson,,
San Bernardino,Hesperia,06/14-06/14 CDF,1525 0 1525,BG,Arson,,20
San Bernardino,Sierra Series,06/27-06/27 CDF,1500 0 1500,B,Arson,,
San Bernardino,Oak Springs,07/09-07/10 CDF,6066 0 6066,WBG,Misc.,,
San Bernardino,Live Oak,07/12-07/12 CDF,350 0 350,B,Arson,,
San Bernardino NF,Ruddell,N/A.07/26-07/26 USFS,0 750 750,TB,,,
San Bernardino,Santa Ana,09/16-09/16 CDF,.1864 0 1864,B,Arson,,
San Bernardino,Yucca Loma,11/05-11/06 BLM,3000 0 3000,B,Arson,,
San Diego,Vesper,06/09-06/10 CDF,450 0 450,BAP,Campfire,,
San Diego,Assist #61,06/28—06/28 MIL .,0 15000 15000,G,N/A,,
San Diego,Cottonwood,06/29-07/02 CDF,485 0 485,B,Campfire,,
San Diego,Hanson,07/26-07/26 CDF,580 0 580,B,Equip . Use,,
San Diego,Campo,09/10-09/11 CDF,320 0 320,B,Arson,,
San Diego,Highland,09/11-09/11 CDF,340 0 340,B,Equip . Use,,
San Diego,Bernardo,09/15-09/15 CDF,1050 7050 9000,B,Arson,,
San Diego,Otay #20,09/19-09/22 CDF,5550 0 5550,B,Arson,,
Cleveland NF,Hauser,07/10-07/15 USFS,0 681 681,B,Campfire,,
Los Angeles County,Wayside,07/18-07/18 CC,0 2530 2530,B,N/A,,
