"unit","name","start","end","agency","cdf","other","totalacres","vegType","cause","homes"
"Lake-Napa","Basalt","06/13","06/14","CDF",700,0,700,"WBG","Equip . Use",
"Lake-Napa","Atlas Peak","06/22","06/23","CDF",23000,0,23000,"TWBGAP","Arson",69
"Lake-Napa","Grizzly","07/26","07/28","CDF",4392,0,4392,"WBG","Arson",1
"Mendocino NF","Hunter","08/09","08/11","USFS",1810,130,1940,"TBW","Debris",
"Lake-Napa","Sulpher Bank","08/09","08/11","CDF",2300,0,2300,"WBG","Arson",
"Lake-Napa","Langs Peak","08/09","08/12","CDF",14660,0,14660,"BG","Arson",
"Lake-Napa","School Teacher Hill","09/20","09/20","CDF",493,0,493,"BG","Arson",
"Mendocino","Cow Mountain","08/08","08/12","CDF",25534,0,25534,"WBG","Arson",4
"Mendocino","Cooley","09/04","09/05","CDF",500,0,500,"BG","Debris",
"Plumas NF","Sloat","07/21","07/21","USFS",0,850,850,"T","Arson",
"Plumas NF","Ingalls","09/17","09/24","USFS",0,5995,5995,"T","Lightning",
"Lassen-Modoc","Rice Canyon Road","08/12","08/13","CDF",8,292,300,"TBG","Arson",
"Lassen-Modoc","Lightning #6","08/17","08/18","CDF",750,0,750,"W","Lightning",
"Lassen-Modoc","Lightning #25","08/17","08/18","CDF",690,0,690,"B","Lightning",
"Lassen-Modoc","Webber","08/18","08/18","CDF",1290,0,1290,"B","Lightning",
"Modoc NF","East","09/17","09/20","USFS",0,540,540,"T","Lightning",
"Modoc NF","Likely","09/18","09/22","USFS",0,525,525,"T","Lightning",
"Amador-E1 Dorado","Meiss","06/14","06/14","CDF",13200,0,13200,"WBG","Misc.",
"Amador-El Dorado","Joerger Series","06/18","06/18","CDF",2305,0,2305,"WG","Equip . Use",
"El Dorado NF","Wrights","08/08","08/12","USFS",0,3600,3600,"T","Equip . Use",
"Sierra NF","USFS #5","08/28","08/30","USFS",0,1300,1300,"BG","Campfire",
"Madera-Mariposa","Yosemite Lakes","07/04","07/05","CDF",400,0,400,"W","Equip . Use",
"Madera-Mariposa","Granite Springs","07/15","07/15","CDF","590-",0,590,"TBG","Equip . Use",1
"Tulare","Round Valley","06/19","06/20","CDF",3600,0,3600,"G","Equip . Use",
"Kern CC","Nellie Dent","07/15","07/16","CC",0,1441,1441,"B","Campfire",
"Kern CC","St . Elmo","08/24","08/25","CC",0,400,400,"BG","N/A",
"Kern CC","Flat","08/27","08/30","CC",0,1500,1500,"G","Play W/Fire",3
"Kern CC ","Young","09/01","09/03","CC",0,1400,1400,"BG","N/A",
"Tuolumne-Calaveras ","Buchanan","08/08","08/10","CDF",706,0,706,"B","Equip . Use",
"San Benito-Monterey ","Horse Valley","06/16","06/16","CDF",3755,0,3755,"WBGAP","Equip . Use",
"Los Padres NF ","Gamboa #1","06/25","07/01","USFS",0,3620,3620,"BG","Campfire",
"Los Padres NF ","Herbert","07/14","07/14","CDF",2045,15,2060,"GAP","Equip . Use",
"San Luis Obispo ","Washburn Ranch","06/11","06/11","CDF",2880,0,2880,"BGAP","Equip . Use",
"Santa Barbara ","Rey Fire","09/22","09/25","CDF",0,1818,1818,"BG","Debris",
"Los Padres NF ","Gay","10/21","10/24","USFS",1015,375,1390,"BG","Equip . Use",
"Santa Clara ","Black Hawk","07/14","07/16","CDF",2400,0,2400,"WBG","Arson",
"Owens Valley ","Springs","02/24","02/25","CDF",1200,0,1200,"B","Arson",
"Inyo NF","Swall","08/09","08/12","USFS",80,1820,1900,"TB","Play W/Fire",3
"Riverside","Spruce","06/04","06/04","CDF",1030,0,1030,"B","Play W/Fire",
"Riverside","Cottonwood","06/15","06/16","CDF",1300,0,1300,"B","Play W/Fire",
"Riverside","Barber","06/15","06/17","CDF",11460,0,11460,"B","Misc.",
"Riverside","Murrieta","06/15","06/17","CDF",8544,0,8544,"BGAP","Arson",2
"Riverside","Reche","06/17","06/18","CDF",2000,0,2000,"B","Arson",
"Riverside","Dawson","06/17","06/17","CDF",6400,0,6400,"B","Smoking",2
"Riverside","Dawson #2","06/28","06/28","CDF",450,"O",450,"B","Play W/Fire",
"Riverside","Goetz","07/04","07/04","CDF",1000,0,1000,"BAP","Arson",
"Riverside","Morongo #28 & 29","08/04","08/05","CDF",300,0,300,"B","Arson",
"Riverside","Rancho","08/22","08/22","CDF",1440,0,1440,"BG","Equip . Use",
"San Bernardino NF ","Center","08/28","08/29","USFS",0,1700,1700,"BG","Play W/Fire",
"Riverside ","Cawston","09/13","09/13","CDF",475,20,495,"BG","Equip . Use",
"San Bernardino ","Colton","06/04","06/05","CDF",2500,0,2500,"B","Misc.",
"San Bernardino ","Euclid","10/31","10/31","CDF",700,0,700,"G","Arson",
"Los Angeles & Ventura ","Oat Mountain","10/31","11/01","CC","O",17500,17500,"BGW","Equip . Use",9
"San Diego ","Montezuma","05/02","05/03","CDF","40o",0,400,"B","Arson",
"San Diego","Outside Origin #1","06/15","06/17","CITY",3025,850,3875,"BG","Arson",
"San Diego","Proctor #1","06/21","06/21","CDF",355,0,355,"B","Arson",
"San Diego","Otay #4","06/25","06/27","CDF",400,0,400,"B","Campfire",
"San Diego","Moreno","07/03","07/06","CDF",3108,0,3108,"B","Equip . Use",
"San Diego","Culp","07/28","07/29","CDF",1045,0,1045,"B","Misc.",
"San Diego","Featherstone","09/14","09/15","CDF",403,0,403,"B","Arson",
