REGION &,,DATE,,ORIGIN,ACRES BURNED VEG .,CAUSE,,,CDF
RANGER UNIT,FIRE NAME,START CONT .,,D . P . A .,CDF OTHER TOTAL TYPE,(general),,HOMES,DEATHS
San Bernardino,Hill,ref -Ie-~29—cC,,,0 8700 8700 B,,,Campfire,
San Bernardino,South Mountain,1 n / -10430-- ACC,,,0 3600 3600 B,,,Equip . Use,
San Bernardino,Stable,11T1C;_11/1g USFS,,,0 6o66 6o66 B,,,Cooking Fire,65
San Bernardino,Windy,,,,0 335 335 BT,,,Arson,
San Bernardino,Thunder,~1 /~~~ ~ /ten,rreFS,,0 11500 11500 B,,,Equip . Use,29
San Bernardino,Panorama,", ~~1-~30v~JSFS",,,125 23475 23600 B,,,Arson,325
San Bernardino,Sycamore,11/24-11/27,CDF,,195 2160 2355 B,,,Equip . Use,
San Bernardino,Summit,11/25-11/29,CDF,,2191 1406 3597 B,,,Arson,1
San Diego,Salvador,07/04-07/06,CDF,,2800 0 2800 B,,,Debris,
San Diego,Otay #6,07/19-07/20,CDF,,3210 0 3210 B,,,Arson,
San Diego,Lightning Series,07/28-08/03,CDF,,7436 0 7436 B,,,Lightning,
San Diego,Assist #69,0$/05-08/05,CITY,,0 615 615 N/A,,,N/A,
San Diego,Assist #73,-.8./_100$ ./-10,GI-TY,,0 350 350 B,,,N/A,
San Diego,Assist #85,-09 -61-G9f 42—i48FS,,,0 685 685 B,,,N/A,
San Diego,Assist #138,-1-1-1-2 5-11 42 5,C-I-Ty,,0 800 800 B,,,N/A,
San Diego,Proctor,11/28-11/30,CDF,,2434 0 2434 BG,,,Misc .,
STATE TOTAL,69 Fires,,,,101803 CDF Acres,,,463 Homes 1 Death,
