RANGER UNIT,,,DATE ORIGIN,,AC S BURNED,,VEG FATALITIES.,STRUCTURES
LOS ANGELES COUNTY,CALABASAS FIRE,10/21/96 10/26/96,CC,"13,010 13,010",WA,WA,6 5,0 0
SAN DIEGO,OTAY #322,10/22198 10/28/98,CDF,"14 ;720 14,720,",B,CAMPFIRE,0 0,0 0
VENTURA,POLI,10/25/96 10/26/98,CC,450 450,B,UNDER INV .,WA WA,0 0
"'SIERRA",,,,,,,,
FRESNO-KINGS,PANOCHE,04/15/96 04/16/96,CDF/BLM,"3,000 3,000",G,ARSON,0 0,0 0
FRESNO-KINGS,FKU-15832,04/19/96 04/19/96,LOCAL,920 920,B,ARSON,0 0,0 0
FRESNO-KINGS,PANOCHE,04/27/96 04/28/96,CDF,"18,350 18,350",G,ELECT . POWER,0 0,0 0
KINGS COUNTY ASSIST,SKYLINE,04/27/96 04/27/96,CC,"16,740 16,740",WA,EQUIP . USE,WA WA,0 0
FRESNO-KINGS,GALE,04/27/96 04/27/96,CDF,"1,500 1,500",G,EQUIPMENT USE,0 0,0 0
FRESNO-KINGS,HWY 33,05122/96 05/23196,CDF,"4,000 4,000",G,ARSON,0 0,0 0
MADERA-MARIPOSA,WEAVER,06/10/96 06/10/96,LOCAL,"1,500 1,500",G,UNDETERMINED,0 0,0 0
MADERA-MARIPOSA,MERCY,06118/96 06/19/96,CDF,"16,820 16,820",G,VEHICLE,0 0,0 0
SANTA BARBARA CO . LPF,ASIOJA,07/03/96 07/05/96,USFS,"2,975 2,9751",WA,UNDER INV.,WA WA,0 0
RANGER UNIT,,DATE,ORIGIN,ACRES BURNED,VEG .,,STRUCTURES,FATALITIES
"& AREA",FIRE NAME,START CONT.,DPA,CDF OTHER TOTAL,TYPE,CAUSE,DEST . DAM .,FIRE CIVIL
TULARE,CASTLE COMPLEX,07/11/96 08/04/96,NIPS,"1,633 1,633",T,LIGHTNING,WA WA,0 0
TULARE,WHITE OAK,07/23/97 07/23/97,CC,"7,150 7,150",GB,UNDETERMINED,2 0,0 0
MADERA-MARIPOSA,STUMPFIELD,08101/96 08/03/96,CDF,"3,000 3,000",TGWB,EQUIP . USE,43 3,0 0
MADERA-MARIPOSA,COTTON,08/01/96 08/01/96,CDF,720 720,GB,UNDETERMINED,1 2,0 0
