"",,,DATE,ORIGIN,ACRES BURNED,VEG. TYPE,,STRUCTURES,FATALITIES,,,,,
KRN-25390,KERN,FORT,07/08/16,07/09/16,CC,554,,554,BG,UNDETERMINED,,,,
LAC-198015,LOS ANGELES,SAGE,07/09/16,07/16/16,CC,990,110,"1,100",BGT,CAMPFIRE,,2,,
MCP-2125,SAN DIEGO,ROBLAR,07/21/16,07/27/16,MIL,,"1,245","1,245",BG,UNDETERMINED,,,,
ANF-3008,LOS ANGELES,SAND,07/22/16,08/06/16,USFS,"2,188","39,195","41,383",BGT,UNDETERMINED,116,20,,1
INF-1415,MONO,CLARK,08/04/16,08/12/16,USFS,,"2,819","2,819",BGT,LIGHTNING,,,,
BDF-10205,SAN BERNARDINO,PILOT,08/07/16,08/16/16,USFS,472,"7,638","8,110",BGT,UNDETERMINED,,,,
INF-1457,INYO,HORSESHOE,08/09/16,08/17/16,USFS,,369,369,BT,UNDETERMINED,,,,
SQF-2595,KERN,CEDAR,08/16/16,09/24/16,USFS,,"29,322","29,322",BT,UNDETERMINED,6,,,
BDF-10468,SAN BERNARDINO,BLUECUT,08/16/16,09/08/16,USFS,,"36,274","36,274",BGT,UNDETERMINED,321,8,,
LPF-2809,SANTA BARBARA,REY,08/18/16,09/15/16,USFS,,"32,606","32,606",BG,UNDETERMINED,5,,,
STF-2257,ALPINE,MOKELUMNE,08/19/16,09/20/16,USFS,,655,655,BGT,LIGHTNING,,,,
SQF-2683,TULARE,TULE,08/22/16,08/22/16,USFS,,395,395,BG,UNDETERMINED,,,,
KRN-32226,KERN,RANGE,08/26/16,08/31/16,CC,600,,600,BGT,HUMAN,,,,
"",,,DATE,ORIGIN,ACRES BURNED,VEG. TYPE,,STRUCTURES,FATALITIES,,,,,
INCIDENT #,COUNTY / UNIT,FIRE NAME,START,CONT.,DPA,CAL FIRE,OTHER,TOTAL,CAUSE,DEST.,DAM.,FIRE,CIVIL,
KRN-32375,KERN,HAVILA,08/27/16,08/31/16,CC,304,,304,BG,UNDETERMINED,,,,
SNF-2154,FRESNO,CROWN,09/15/16,10/31/16,USFS,,800,800,T,LIGHTNING,,,,
AFV-3151,SANTA BARBARA,CANYON,09/17/16,09/24/16,MIL,,"12,742","12,742",B,UNDETERMINED,,,1,
MDF-910,MODOC,SOUP COMPLEX,09/17/16,10/31/16,USFS,,"2,722","2,722",GT,UNDETERMINED,,,,
INF-1763,MONO,OWENS RIVER,09/17/16,10/15/16,USFS,,"5,443","5,443",BGT,UNDETERMINED,4,,,
KRN-35570,KERN,FLAT,09/19/16,09/22/16,CC,307,,307,G,EQUIPMENT,,,,
SQF-3261,TULARE,SLATE,10/04/16,11/05/16,USFS,,"2,160","2,160",BT,LIGHTNING,,,,
SNF-2370,FRESNO,SACATA,10/11/16,10/19/16,USFS,,"2,100","2,100",BGT,UNDETERMINED,,,,
SQF-3384,TULARE,JACOBSON,10/20/16,11/01/16,USFS,,"1,702","1,702",BT,UNDETERMINED,,,,
SQF-3456,TULARE,MEADOW,10/29/16,11/22/16,USFS,,"4,347","4,347",BT,LIGHTNING,,,,
SQF-3464,TULARE,HIDDEN,11/02/16,11/23/16,USFS,,"2,768","2,768",BT,LIGHTNING,,,,
SUBTOTAL,"10,190","297,024","307,214",,,768,43,1,4,,,,,
